name,ra,dec,redshift
SN 2010fy,252.89074,-33.85193,
SN 2009id,350.9584,-23.49112,
SN 2012bc,283.47449,11.97583,
SN 2014at,352.15366,-48.93615,
SN 1997du,322.93858,-69.01078,
SN 1992K,306.27451,16.30904,
SN 1992ay,252.36255,-43.2119,
SN 1991ah,350.84726,-52.9676,
SN 1985D,280.60818,10.80908,
SN 1989Y,353.5122,-44.17336,
SN 2012eb,334.26649,-66.46844,0.398
SN 1982I,353.86368,-35.13443,
SN 2009el,307.07011,16.57517,
SN 2010hd,347.72173,-58.17518,
SN 1978G,350.32038,-54.84231,
SN 1983X,308.40362,16.61903,
SN 2008O,255.79719,-18.08095,
SN 2014P,282.46641,12.34397,
SN 2010im,354.1157,-32.62663,
SN 2002ge,347.12621,-60.46277,
SN 2008et,353.29377,-25.87181,
SN 2011gx,250.4951,-36.98803,
SN 1993T,344.64107,-63.15676,
SN 1997dh,335.17939,-67.81613,
SN 2005dc,354.92345,-48.57896,
SN 1992bl,344.1288,-63.92489,
SN 2014df,251.56799,-51.41188,
SN 2008fw,277.95171,11.18438,
SN 1997Z,277.97606,11.20591,
SN 1992ar,343.78449,-64.30778,0.145
SN 1983S,251.52207,-51.39376,
SN 2001el,251.51596,-51.39891,
SN 1992as,356.00191,-41.78723,
SN 2003hn,251.49566,-51.38434,
SN 1998dc,352.81927,-55.18908,
SN 2014ar,289.91285,16.59844,
SN 1997dr,253.24487,-55.86139,
SN 2009fj,294.51818,17.67492,
SN 1978D,346.52089,-62.78877,
SN 2014N,260.39178,-63.60741,
SN 2008ff,355.76953,-32.89435,
SN 2013aa,321.40295,14.99031,
SN 2012ft,356.40256,-36.00068,
SN 1976L,251.01958,-52.52021,
SN 1996am,355.95026,-49.3606,
SN 1959G,356.16502,-32.24597,
SN 2001db,277.37125,11.72439,
SN 2015av,356.75138,-35.62462,
SN 1981C,308.61164,18.8381,
SN 1958F,308.50776,18.85313,
SN 1996ag,356.38605,-49.53429,0.14
SN 2012cl,275.22343,10.65817,
SN 2012dj,346.40715,-64.48628,
SN 2014bz,315.15074,17.74693,
